sim_num_insn      63062
sim_num_refs      25976
sim_elapsed_time  1
sim_inst_rate     63062.0000
sim_num_branches  12172
sim_IPB           5.1809
lookups           12172
updates           12172
jr_seen           155
ras_rate.PP       0.9935
Mode\Attr         addr_hits   dir_hits  misses  bpred_addr_rate  bpred_dir_rate  retstack_pushes  retstack_pops  used_ras.PP  ras_hits.PP
2lev_4_64_2_0     11873       11965     207     0.9754           0.9830          155              153            153          152
2lev_4_128_3_0    11870       11958     214     0.9752           0.9824          155              153            153          152
2lev_4_256_4_0    11862       11952     220     0.9745           0.9819          155              153            153          152
2lev_4_512_5_0    11862       11951     221     0.9745           0.9818          155              153            153          152
2lev_4_1024_6_0   11859       11947     225     0.9743           0.9815          155              153            153          152
2lev_4_2048_7_0   11854       11940     232     0.9739           0.9809          155              153            153          152
2lev_4_4096_8_0   11853       11939     233     0.9738           0.9809          155              153            153          152
2lev_8_512_1_0    11882       11965     207     0.9762           0.9830          155              153            153          152
2lev_8_1024_2_0   11879       11961     211     0.9759           0.9827          155              153            153          152
2lev_8_2048_3_0   11871       11955     217     0.9753           0.9822          155              153            153          152
2lev_8_4096_4_0   11868       11953     219     0.9750           0.9820          155              153            153          152
2lev_8_8192_5_0   11867       11951     221     0.9749           0.9818          155              153            153          152
2lev_8_16384_6_0  11862       11946     226     0.9745           0.9814          155              153            153          152
2lev_8_32768_7_0  11859       11943     229     0.9743           0.9812          155              153            153          152
2lev_8_65536_8_0  11858       11942     230     0.9742           0.9811          155              153            153          152
2lev_1_4_1_1      11843       11942     230     0.9730           0.9811          155              153            153          152
2lev_1_8_2_1      11843       11935     237     0.9730           0.9805          155              153            153          152
2lev_1_16_3_1     11854       11942     230     0.9739           0.9811          155              153            153          152
2lev_1_32_4_1     11857       11951     221     0.9741           0.9818          155              153            153          152
2lev_1_64_5_1     11849       11943     229     0.9735           0.9812          155              153            153          152
2lev_1_128_6_1    11856       11947     225     0.9740           0.9815          155              153            153          152
2lev_1_256_7_1    11847       11940     232     0.9733           0.9809          155              153            153          152
2lev_1_512_8_1    11841       11934     238     0.9728           0.9804          155              153            153          152
2lev_2_8_1_1      11849       11943     229     0.9735           0.9812          155              153            153          152
2lev_2_16_2_1     11847       11945     227     0.9733           0.9814          155              153            153          152
2lev_2_32_3_1     11853       11945     227     0.9738           0.9814          155              153            153          152
2lev_2_64_4_1     11854       11941     231     0.9739           0.9810          155              153            153          152
2lev_2_128_5_1    11849       11938     234     0.9735           0.9808          155              153            153          152
2lev_2_256_6_1    11847       11936     236     0.9733           0.9806          155              153            153          152
2lev_2_512_7_1    11843       11930     242     0.9730           0.9801          155              153            153          152
2lev_2_1024_8_1   11843       11934     238     0.9730           0.9804          155              153            153          152
2lev_4_32_1_1     11871       11960     212     0.9753           0.9826          155              153            153          152
2lev_4_64_2_1     11865       11959     213     0.9748           0.9825          155              153            153          152
2lev_4_128_3_1    11867       11954     218     0.9749           0.9821          155              153            153          152
2lev_4_256_4_1    11856       11944     228     0.9740           0.9813          155              153            153          152
2lev_4_512_5_1    11853       11942     230     0.9738           0.9811          155              153            153          152
2lev_4_1024_6_1   11847       11934     238     0.9733           0.9804          155              153            153          152
2lev_4_2048_7_1   11839       11926     246     0.9726           0.9798          155              153            153          152
2lev_4_4096_8_1   11836       11921     251     0.9724           0.9794          155              153            153          152
2lev_8_512_1_1    11874       11959     213     0.9755           0.9825          155              153            153          152
2lev_8_1024_2_1   11866       11951     221     0.9749           0.9818          155              153            153          152
2lev_8_2048_3_1   11859       11944     228     0.9743           0.9813          155              153            153          152
2lev_8_4096_4_1   11856       11942     230     0.9740           0.9811          155              153            153          152
2lev_8_8192_5_1   11852       11937     235     0.9737           0.9807          155              153            153          152
2lev_8_16384_6_1  11845       11930     242     0.9731           0.9801          155              153            153          152
2lev_8_32768_7_1  11839       11924     248     0.9726           0.9796          155              153            153          152
2lev_8_65536_8_1  11836       11921     251     0.9724           0.9794          155              153            153          152
