sim_num_insn,128172
sim_num_refs,53639
sim_elapsed_time,1
sim_inst_rate,128172.0000
sim_num_branches,31740
sim_IPB,4.0382
lookups,31740
updates,31740
jr_seen,49
ras_rate.PP,0.9796
Mode\Attr,addr_hits,dir_hits,misses,bpred_addr_rate,bpred_dir_rate,retstack_pushes,retstack_pops,used_ras.PP,ras_hits.PP
2lev_8_65536_8_0,31540,31622,118,0.9937,0.9963,51,49,49,48
2lev_1_4_1_1,31526,31617,123,0.9933,0.9961,51,49,49,48
2lev_1_8_2_1,31534,31619,121,0.9935,0.9962,51,49,49,48
2lev_1_16_3_1,31549,31629,111,0.9940,0.9965,51,49,49,48
2lev_1_32_4_1,31544,31622,118,0.9938,0.9963,51,49,49,48
2lev_1_64_5_1,31543,31623,117,0.9938,0.9963,51,49,49,48
2lev_1_128_6_1,31541,31621,119,0.9937,0.9963,51,49,49,48
2lev_1_256_7_1,31541,31622,118,0.9937,0.9963,51,49,49,48
2lev_1_512_8_1,31537,31620,120,0.9936,0.9962,51,49,49,48
2lev_2_8_1_1,31533,31615,125,0.9935,0.9961,51,49,49,48
2lev_2_16_2_1,31538,31623,117,0.9936,0.9963,51,49,49,48
2lev_2_32_3_1,31547,31625,115,0.9939,0.9964,51,49,49,48
2lev_2_64_4_1,31546,31626,114,0.9939,0.9964,51,49,49,48
2lev_2_128_5_1,31540,31619,121,0.9937,0.9962,51,49,49,48
2lev_2_256_6_1,31536,31617,123,0.9936,0.9961,51,49,49,48
2lev_2_512_7_1,31537,31618,122,0.9936,0.9962,51,49,49,48
2lev_2_1024_8_1,31535,31617,123,0.9935,0.9961,51,49,49,48
2lev_4_32_1_1,31538,31612,128,0.9936,0.9960,51,49,49,48
2lev_4_64_2_1,31546,31623,117,0.9939,0.9963,51,49,49,48
2lev_4_128_3_1,31533,31610,130,0.9935,0.9959,51,49,49,48
2lev_4_256_4_1,31530,31608,132,0.9934,0.9958,51,49,49,48
2lev_4_512_5_1,31530,31612,128,0.9934,0.9960,51,49,49,48
2lev_4_1024_6_1,31532,31614,126,0.9934,0.9960,51,49,49,48
2lev_4_2048_7_1,31525,31607,133,0.9932,0.9958,51,49,49,48
2lev_4_4096_8_1,31525,31606,134,0.9932,0.9958,51,49,49,48
2lev_8_512_1_1,31558,31643,97,0.9943,0.9969,51,49,49,48
2lev_8_1024_2_1,31555,31638,102,0.9942,0.9968,51,49,49,48
2lev_8_2048_3_1,31545,31630,110,0.9939,0.9965,51,49,49,48
2lev_8_4096_4_1,31538,31625,115,0.9936,0.9964,51,49,49,48
2lev_8_8192_5_1,31533,31620,120,0.9935,0.9962,51,49,49,48
2lev_8_16384_6_1,31526,31613,127,0.9933,0.9960,51,49,49,48
2lev_8_32768_7_1,31523,31611,129,0.9932,0.9959,51,49,49,48
2lev_8_65536_8_1,31518,31606,134,0.9930,0.9958,51,49,49,48
